INE_ID,Order,Party
101,1,PCP-PEV
101,2,PS
101,3,PPD/PSD.CDS-PP
102,1,PCP-PEV
102,2,PPD/PSD
102,3,CDS-PP
102,4,B.E.
102,5,PS
103,1,PS
103,2,CDS-PP
103,3,PCP-PEV
103,4,PPD/PSD
103,5,M.I.A.P.
104,1,PCP-PEV
104,2,PPD/PSD
104,3,PS
104,4,CDS-PP
105,1,B.E.
105,2,PS
105,3,PPD/PSD.CDS-PP.PPM
105,4,JPA
105,5,PCTP/MRPP
105,6,P.N.R.
105,7,PCP-PEV
106,1,PPD/PSD
106,2,PCP-PEV
106,3,PS
106,4,B.E.
106,5,CDS-PP
107,1,CDS-PP
107,2,PCP-PEV
107,3,PPD/PSD
107,4,PS
107,5,B.E.
108,1,PS
108,2,PPD/PSD.CDS-PP
108,3,P.C.E.
108,4,PCP-PEV
109,1,B.E.
109,2,PCP-PEV
109,3,PPD/PSD
109,4,CDS-PP
109,5,PS
110,1,PCP-PEV
110,2,B.E.
110,3,CDS-PP
110,4,PPD/PSD
110,5,PS
111,1,PCP-PEV
111,2,B.E.
111,3,PPD/PSD.CDS-PP.MPT.PPM
111,4,PS
112,1,PS
112,2,PCP-PEV
112,3,PPD/PSD
112,4,CDS-PP
113,1,PCP-PEV
113,2,PS
113,3,B.E.
113,4,CDS-PP
113,5,PPD/PSD
114,1,PCP-PEV
114,2,CDS-PP
114,3,PS
114,4,PPD/PSD
115,1,CDS-PP
115,2,B.E.
115,3,PS
115,4,PPD/PSD
115,5,PCP-PEV
116,1,SJM
116,2,PPD/PSD
116,3,B.E.
116,4,CDS-PP
116,5,PCP-PEV
116,6,PS
117,1,PPD/PSD
117,2,PCP-PEV
117,3,CDS-PP
117,4,PS
118,1,PPD/PSD
118,2,PS
118,3,CDS-PP
118,4,PCP-PEV
119,1,PPD/PSD
119,2,CDS-PP
119,3,PS
119,4,PCP-PEV
201,1,PPD/PSD.CDS-PP
201,2,PCP-PEV
201,3,PS
202,1,PCP-PEV
202,2,PPD/PSD
202,3,B.E.
202,4,PS
202,5,IPA
203,1,PCP-PEV
203,2,PPD/PSD.CDS-PP
203,3,PS
204,1,PCP-PEV
204,2,PS
205,1,PS
205,2,PPD/PSD.CDS-PP
205,3,PCP-PEV
205,4,PBCT
206,1,PS
206,2,PPD/PSD.CDS-PP
206,3,PCP-PEV
207,1,PCP-PEV
207,2,PPD/PSD.CDS-PP
207,3,PS
208,1,PS
208,2,PPD/PSD.CDS-PP
208,3,PCP-PEV
209,1,MIM
209,2,PS
209,3,PPD/PSD.CDS-PP
209,4,PCP-PEV
210,1,PCP-PEV
210,2,PS
210,3,PPD/PSD.CDS-PP
211,1,B.E.
211,2,PS
211,3,PCP-PEV
211,4,PPD/PSD.CDS-PP
212,1,PS
212,2,PPD/PSD.CDS-PP
212,3,PCP-PEV
213,1,B.E.
213,2,PS
213,3,PPD/PSD
213,4,PCP-PEV
214,1,PCP-PEV
214,2,PPD/PSD.CDS-PP
214,3,PS
301,1,AP
301,2,PS
301,3,PCP-PEV
301,4,PPD/PSD.CDS-PP
302,1,PPD/PSD.CDS-PP.PPM
302,2,PCP-PEV
302,3,B.E.
302,4,MIB
302,5,PS
302,6,PCTP/MRPP
303,1,CEM
303,2,PCP-PEV
303,3,PPD/PSD.CDS-PP.PPM
303,4,PS
303,5,PCTP/MRPP
304,1,PCP-PEV
304,2,IPC
304,3,PPD/PSD.CDS-PP
304,4,PS
305,1,CDS-PP
305,2,PCP-PEV
305,3,PS
305,4,PPD/PSD
306,1,PCP-PEV
306,2,PS
306,3,CDS-PP
306,4,PPD/PSD
307,1,PCP-PEV
307,2,PPD/PSD
307,3,PS
307,4,CDS-PP
307,5,IPF
308,1,PCP-PEV
308,2,PS
308,3,PPD/PSD.CDS-PP.MPT
308,4,B.E.
308,5,PCTP/MRPP
308,6,PPM-PPV
309,1,PCP-PEV
309,2,PS
309,3,CDS-PP
309,4,PPD/PSD
310,1,PCP-PEV
310,2,TBR2021
310,3,PS
310,4,MPT
310,5,PPD/PSD.CDS-PP
311,1,PCP-PEV
311,2,PS
311,3,PPD/PSD.CDS-PP
311,4,B.E.
312,1,B.E.
312,2,PS
312,3,PPD/PSD.CDS-PP
312,4,PCP-PEV
313,1,PPD/PSD
313,2,PS
313,3,CDS-PP
313,4,PCP-PEV
314,1,PS
314,2,B.E.
314,3,PCP-PEV
314,4,PPD/PSD.CDS-PP
401,1,PS
401,2,PPD/PSD.CDS-PP
401,3,PCP-PEV
402,1,MSP
402,2,CDS-PP
402,3,B.E.
402,4,PS
402,5,PPD/PSD
402,6,PCP-PEV
403,1,PPD/PSD
403,2,CDS-PP
403,3,PS
403,4,PCP-PEV
404,1,PCP-PEV
404,2,PS
404,3,PPD/PSD
405,1,PPD/PSD
405,2,CDS-PP
405,3,PCP-PEV
405,4,PS
406,1,PCP-PEV
406,2,B.E.
406,3,CDS-PP.MPT.PPM
406,4,PPD/PSD
406,5,PS
407,1,CDS-PP
407,2,PCP-PEV
407,3,PPD/PSD
407,4,B.E.
407,5,PS
408,1,PS
408,2,PCP-PEV
408,3,CDS-PP
408,4,PPD/PSD
409,1,PS
409,2,PPD/PSD.CDS-PP
409,3,PCP-PEV
410,1,PCP-PEV
410,2,PS
410,3,PPD/PSD.CDS-PP
411,1,CDS-PP
411,2,PPD/PSD
411,3,PCP-PEV
411,4,PS
412,1,PS
412,2,CDS-PP.PPD/PSD
412,3,PCP-PEV
501,1,PPCB
501,2,PCP-PEV
501,3,PS
501,4,CDS-PP
502,1,PCP-PEV
502,2,PS
502,3,CDS-PP
502,4,PPD/PSD
502,5,B.E.
503,1,PS
503,2,B.E.
503,3,PFAC
503,4,PPD/PSD
503,5,PCP-PEV
504,1,PCP-PEV
504,2,PS
504,3,PPD/PSD
504,4,CDS-PP
504,5,PTP
505,1,C.P.I.
505,2,PCP-PEV
505,3,CDS-PP
505,4,PPD/PSD
505,5,PS
506,1,PCP-PEV
506,2,MCO
506,3,PPD/PSD
507,1,PPD/PSD.MPT
507,2,PS
507,3,CDS-PP
507,4,PCP-PEV
508,1,PCP-PEV
508,2,PPD/PSD
508,3,PS
509,1,CDS-PP
509,2,PCP-PEV
509,3,PPD/PSD
509,4,M.I.
509,5,PS
510,1,CDS-PP
510,2,PPD/PSD
510,3,PS
510,4,PCP-PEV
511,1,PS
511,2,PCP-PEV
511,3,CDS-PP
511,4,PPD/PSD
601,1,PS
601,2,PCP-PEV
601,3,PPD/PSD
602,1,PS
602,2,PPD/PSD
602,3,PCP-PEV
602,4,CDS-PP
603,1,PS
603,2,PCP-PEV
603,3,PAN
603,4,PCTP/MRPP
603,5,CDS-PP
603,6,CPC
603,7,PPD/PSD.PPM.MPT
604,1,CDS-PP
604,2,PPD/PSD
604,3,PS
604,4,PCP-PEV
604,5,B.E.
605,1,B.E.
605,2,PCTP/MRPP
605,3,PS
605,4,PPD/PSD.CDS-PP.PPM.MPT
605,5,PCP-PEV
606,1,PCP-PEV
606,2,PS
606,3,CDS-PP
606,4,I-GÃ“IS
607,1,B.E.
607,2,PPD/PSD.CDS-PP
607,3,PCP-PEV
607,4,PS
608,1,CDS-PP
608,2,PCP-PEV
608,3,PS
608,4,MAR
608,5,PPD/PSD
609,1,PCP-PEV
609,2,B.E.
609,3,PS
609,4,PPD/PSD.CDS-PP
610,1,B.E.
610,2,PS
610,3,MPT
610,4,PCP-PEV
610,5,PPD/PSD.CDS-PP
611,1,PCP-PEV
611,2,CDS-PP
611,3,PPD/PSD
611,4,PS
612,1,PPD/PSD
612,2,PS
612,3,PCP-PEV
613,1,PPD/PSD.CDS-PP
613,2,PCP-PEV
613,3,PS
614,1,PCP-PEV
614,2,PS
614,3,CDS-PP
614,4,PPD/PSD
615,1,MCPS
615,2,PS
615,3,PPD/PSD.CDS-PP.PPM
615,4,PCP-PEV
616,1,PS
616,2,PCP-PEV
616,3,PPD/PSD.CDS-PP
617,1,PPD/PSD
617,2,PCP-PEV
617,3,CDS-PP
617,4,PS
701,1,B.E.
701,2,MUDA
701,3,PPD/PSD
701,4,DITA
701,5,PS
701,6,PCP-PEV
702,1,PCP-PEV
702,2,CDS-PP
702,3,PS
702,4,PPD/PSD
703,1,PPD/PSD
703,2,MUB
703,3,PCP-PEV
703,4,PS
704,1,CDS-PP
704,2,PPD/PSD
704,3,PS
704,4,PCP-PEV
704,5,MIETZ
705,1,PS
705,2,PCP-PEV
705,3,PPD/PSD.CDS-PP
705,4,B.E.
706,1,CDS-PP
706,2,PPD/PSD
706,3,PCP-PEV
706,4,PS
707,1,PCP-PEV
707,2,PS
707,3,PPD/PSD.CDS-PP
708,1,PCP-PEV
708,2,PS
708,3,PPD/PSD.CDS-PP
709,1,CDS-PP.PPD/PSD
709,2,PCP-PEV
709,3,PS
710,1,CDS-PP.PPD/PSD
710,2,MICRE
710,3,PCP-PEV
710,4,PS
711,1,PS
711,2,PPD/PSD.CDS-PP
711,3,PCP-PEV
712,1,PPD/PSD
712,2,PCP-PEV
712,3,PS
713,1,PPD/PSD
713,2,PS
713,3,PCP-PEV
714,1,CIEMO
714,2,PS
714,3,PCP-PEV
714,4,MUC
714,5,PPD/PSD.CDS-PP
801,1,PPD/PSD
801,2,PS
801,3,V.I.V.A.
801,4,CDS-PP.MPT.PPM
801,5,PCP-PEV
802,1,PCP-PEV
802,2,PPD/PSD
802,3,PS
803,1,PPD/PSD
803,2,PCP-PEV
803,3,PS
804,1,PCP-PEV
804,2,PPD/PSD
804,3,B.E.
804,4,CDS-PP
804,5,PS
805,1,PCP-PEV
805,2,PPD/PSD.CDS-PP.MPT.PPM
805,3,PS
805,4,B.E.
805,5,CFC-SF
805,6,PPV
806,1,B.E.
806,2,PPD/PSD
806,3,PS
806,4,PCP-PEV
807,1,PS
807,2,PCP-PEV
807,3,LCFCIPL
807,4,PPM-PPV-PND
807,5,CDS-PP.MPT
807,6,B.E.
807,7,PPD/PSD
808,1,MICA
808,2,CDS-PP
808,3,PS
808,4,PPD/PSD
808,5,PCP-PEV
809,1,PS
809,2,PPD/PSD
809,3,PCP-PEV
809,4,MI
810,1,PCTP/MRPP
810,2,B.E.
810,3,PPD/PSD
810,4,PS
810,5,NRGCE
810,6,PCP-PEV
810,7,CDS-PP
811,1,CDS-PP.MPT.PPM
811,2,PCP-PEV
811,3,B.E.
811,4,PPD/PSD
811,5,PS
812,1,CDS-PP
812,2,PCP-PEV
812,3,PPD/PSD
812,4,PS
813,1,PS
813,2,PCP-PEV
813,3,PPD/PSD
813,4,B.E.
814,1,PS
814,2,PCP-PEV
814,3,PPD/PSD.CDS-PP.MPT.PPM
814,4,B.E.
814,5,CTI
815,1,PPD/PSD
815,2,PCP-PEV
815,3,PS
816,1,B.E.
816,2,CDS-PP
816,3,PS
816,4,PPD/PSD
816,5,PCP-PEV
901,1,PCP-PEV
901,2,MIUPNT
901,3,PPD/PSD
902,1,PPD/PSD.CDS-PP
902,2,PS
902,3,PCP-PEV
903,1,PCP-PEV
903,2,PTP
903,3,PS
903,4,PPD/PSD.CDS-PP
904,1,PCP-PEV
904,2,PS
904,3,PPD/PSD
905,1,PPD/PSD
905,2,CDS-PP
905,3,PS
905,4,PCP-PEV
906,1,PCP-PEV
906,2,PS
906,3,PPD/PSD.CDS-PP
907,1,PCP-PEV
907,2,PS
907,3,B.E.
907,4,G
907,5,JPG
907,6,PPD/PSD.CDS-PP
907,7,PCTP/MRPP
908,1,PS
908,2,PCP-PEV
908,3,PPD/PSD
909,1,CDS-PP
909,2,PS
909,3,PPM
909,4,PCP-PEV
909,5,PPD/PSD
910,1,PCP-PEV
910,2,CDS-PP
910,3,PS
910,4,PPD/PSD
911,1,PTP
911,2,PS
911,3,PCP-PEV
911,4,CDS-PP
911,5,PPD/PSD
912,1,PCP-PEV
912,2,PS
912,3,PPD/PSD.CDS-PP
913,1,CDS-PP
913,2,PPD/PSD
913,3,PCP-PEV
913,4,PS
914,1,PS
914,2,PCP-PEV
914,3,PPD/PSD
914,4,CDS-PP
1001,1,PCP-PEV
1001,2,CDS-PP
1001,3,B.E.
1001,4,P.N.R.
1001,5,PPD/PSD
1001,6,PS
1002,1,PPD/PSD
1002,2,CDS-PP
1002,3,PS
1002,4,PCP-PEV
1003,1,PS
1003,2,CDS-PP
1003,3,PCP-PEV
1003,4,PPD/PSD
1004,1,PCP-PEV
1004,2,PPD/PSD
1004,3,PS
1004,4,CDS-PP
1005,1,PPD/PSD
1005,2,CDS-PP
1005,3,PCP-PEV
1005,4,PS
1006,1,PPD/PSD
1006,2,CDS-PP
1006,3,B.E.
1006,4,MVC
1006,5,PCP-PEV
1006,6,PS
1007,1,PS
1007,2,PPD/PSD
1007,3,CDS-PP
1007,4,MAISC
1007,5,PCP-PEV
1008,1,PS
1008,2,PPD/PSD
1008,3,CDS-PP
1008,4,PCP-PEV
1009,1,PCP-PEV
1009,2,PPD/PSD
1009,3,B.E.
1009,4,PS
1009,5,CDS-PP
1010,1,PS
1010,2,PPD/PSD
1010,3,CDS-PP
1010,4,+CMG
1010,5,PCP-PEV
1010,6,B.E.
1010,7,MPM
1011,1,NV
1011,2,CDS-PP
1011,3,PPD/PSD
1011,4,PS
1011,5,GCICN
1011,6,B.E.
1011,7,MPT
1011,8,PCP-PEV
1012,1,PPD/PSD
1012,2,CDS-PP
1012,3,PCP-PEV
1012,4,PS
1013,1,PS
1013,2,PPD/PSD
1013,3,PCP-PEV
1014,1,B.E.
1014,2,CDS-PP
1014,3,PS
1014,4,PPD/PSD
1014,5,PCP-PEV
1015,1,PPD/PSD
1015,2,CDS-PP
1015,3,PS
1015,4,PCP-PEV
1016,1,PCP-PEV
1016,2,PPD/PSD
1016,3,PS
1016,4,CDS-PP
1101,1,PPD/PSD.CDS-PP.MPT.PPM
1101,2,PS
1101,3,PCP-PEV
1101,4,B.E.
1102,1,PS
1102,2,CDS-PP
1102,3,PPD/PSD
1102,4,PCP-PEV
1103,1,PPD/PSD.CDS-PP.MPT.PPM
1103,2,PCP-PEV
1103,3,PS
1104,1,PCP-PEV
1104,2,CDS-PP.MPT.PPM
1104,3,PS
1104,4,PPD/PSD
1105,1,PCP-PEV
1105,2,PPM/PPV/PND
1105,3,PS
1105,4,B.E.
1105,5,PTP
1105,6,SCMI
1105,7,PCTP/MRPP
1105,8,PPD/PSD.CDS-PP
1106,1,PPM/PPV/PND
1106,2,PPD/PSD.CDS-PP.MPT
1106,3,B.E.
1106,4,P.N.R.
1106,5,PCTP/MRPP
1106,6,PCP-PEV
1106,7,PTP
1106,8,PS
1106,9,PAN
1107,1,CDS-PP
1107,2,PS
1107,3,B.E.
1107,4,P.N.R.
1107,5,PTP
1107,6,PPD/PSD.MPT.PPM
1107,7,PCTP/MRPP
1107,8,PCP-PEV
1108,1,PPD/PSD.CDS-PP
1108,2,B.E.
1108,3,PCP-PEV
1108,4,PS
1109,1,PCP-PEV
1109,2,PPD/PSD
1109,3,CDS-PP.MPT.PPM
1109,4,PS
1110,1,PS
1110,2,PPD/PSD
1110,3,PTP
1110,4,IOMAF
1110,5,PCTP/MRPP
1110,6,B.E.
1110,7,CDS-PP
1110,8,PAN
1110,9,PCP-PEV
1111,1,PCTP/MRPP
1111,2,PCP-PEV
1111,3,B.E.
1111,4,PPD/PSD.CDS-PP.MPT
1111,5,PAN
1111,6,PTP
1111,7,SCMA
1111,8,PS
1111,9,PND
